****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Parallel execution requested.  Will use 8 threads.
Cross-validation will be performed.  Folds=10.
Random seed: 43
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate at 100 iterations
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 98x940
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.002	Loglikelihood: -45560.1	(delta): 103635
2 (EM) 	Elapsed: 0.002	Loglikelihood: -43893	(delta): 1667.14
3 (EM) 	Elapsed: 0.002	Loglikelihood: -43553.3	(delta): 339.668
4 (EM) 	Elapsed: 0.002	Loglikelihood: -43391.8	(delta): 161.531
5 (EM) 	Elapsed: 0.002	Loglikelihood: -43307.6	(delta): 84.2246
Initial loglikelihood: -43307.6
Starting main algorithm
1 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -40516.8	(delta): 2790.75
2 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -39556.5	(delta): 960.283
3 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -39038.5	(delta): 518.019
4 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -38686.4	(delta): 352.123
5 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -38594.4	(delta): 91.9665
6 (QN/Block) 	Elapsed: 0.011	Loglikelihood: -38566.8	(delta): 27.618
7 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -38559	(delta): 7.77482
8 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -38557.8	(delta): 1.23006
9 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -38557.7	(delta): 0.0940992
10 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -38557.7	(delta): 0.0015047
11 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -38557.7	(delta): 0.000318369
12 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -38557.7	(delta): 3.30416e-07
13 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -38557.7	(delta): 1.43846e-08
14 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -38557.7	(delta): 5.09317e-11
15 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -38557.7	(delta): 7.27596e-12
16 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -38557.7	(delta): 7.27596e-12
17 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -38557.7	(delta): -7.27596e-12
18 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -38557.7	(delta): 0
19 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -38557.7	(delta): 0
20 (QN/Block) 	Elapsed: 0.011	Loglikelihood: -38557.7	(delta): 7.27596e-12
21 (QN/Block) 	Elapsed: 0.013	Loglikelihood: -38557.7	(delta): 0
22 (QN/Block) 	Elapsed: 0.013	Loglikelihood: -38557.7	(delta): 7.27596e-12
23 (QN/Block) 	Elapsed: 0.013	Loglikelihood: -38557.7	(delta): -7.27596e-12
24 (QN/Block) 	Elapsed: 0.012	Loglikelihood: -38557.7	(delta): 0
25 (QN/Block) 	Elapsed: 0.011	Loglikelihood: -38557.7	(delta): 0
26 (QN/Block) 	Elapsed: 0.015	Loglikelihood: -38557.7	(delta): 0
27 (QN/Block) 	Elapsed: 0.013	Loglikelihood: -38557.7	(delta): 0
28 (QN/Block) 	Elapsed: 0.012	Loglikelihood: -38557.7	(delta): 0
29 (QN/Block) 	Elapsed: 0.015	Loglikelihood: -38557.7	(delta): 0
30 (QN/Block) 	Elapsed: 0.012	Loglikelihood: -38557.7	(delta): 0
31 (QN/Block) 	Elapsed: 0.013	Loglikelihood: -38557.7	(delta): -7.27596e-12
32 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -38557.7	(delta): 7.27596e-12
33 (QN/Block) 	Elapsed: 0.014	Loglikelihood: -38557.7	(delta): 0
34 (QN/Block) 	Elapsed: 0.012	Loglikelihood: -38557.7	(delta): 0
35 (QN/Block) 	Elapsed: 0.011	Loglikelihood: -38557.7	(delta): -7.27596e-12
36 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -38557.7	(delta): 7.27596e-12
37 (QN/Block) 	Elapsed: 0.013	Loglikelihood: -38557.7	(delta): 0
38 (QN/Block) 	Elapsed: 0.013	Loglikelihood: -38557.7	(delta): -7.27596e-12
39 (QN/Block) 	Elapsed: 0.011	Loglikelihood: -38557.7	(delta): 0
40 (QN/Block) 	Elapsed: 0.012	Loglikelihood: -38557.7	(delta): 7.27596e-12
41 (QN/Block) 	Elapsed: 0.013	Loglikelihood: -38557.7	(delta): -7.27596e-12
42 (QN/Block) 	Elapsed: 0.013	Loglikelihood: -38557.7	(delta): 7.27596e-12
43 (QN/Block) 	Elapsed: 0.011	Loglikelihood: -38557.7	(delta): 0
44 (QN/Block) 	Elapsed: 0.014	Loglikelihood: -38557.7	(delta): 0
45 (QN/Block) 	Elapsed: 0.011	Loglikelihood: -38557.7	(delta): 0
46 (QN/Block) 	Elapsed: 0.013	Loglikelihood: -38557.7	(delta): 0
47 (QN/Block) 	Elapsed: 0.012	Loglikelihood: -38557.7	(delta): -7.27596e-12
48 (QN/Block) 	Elapsed: 0.012	Loglikelihood: -38557.7	(delta): 7.27596e-12
49 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -38557.7	(delta): 0
50 (QN/Block) 	Elapsed: 0.013	Loglikelihood: -38557.7	(delta): 0
51 (QN/Block) 	Elapsed: 0.011	Loglikelihood: -38557.7	(delta): -7.27596e-12
52 (QN/Block) 	Elapsed: 0.011	Loglikelihood: -38557.7	(delta): 0
53 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -38557.7	(delta): 7.27596e-12
54 (QN/Block) 	Elapsed: 0.011	Loglikelihood: -38557.7	(delta): 0
55 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -38557.7	(delta): 0
56 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -38557.7	(delta): -7.27596e-12
57 (QN/Block) 	Elapsed: 0.013	Loglikelihood: -38557.7	(delta): 7.27596e-12
58 (QN/Block) 	Elapsed: 0.012	Loglikelihood: -38557.7	(delta): 0
59 (QN/Block) 	Elapsed: 0.012	Loglikelihood: -38557.7	(delta): -7.27596e-12
60 (QN/Block) 	Elapsed: 0.011	Loglikelihood: -38557.7	(delta): 7.27596e-12
61 (QN/Block) 	Elapsed: 0.013	Loglikelihood: -38557.7	(delta): 0
62 (QN/Block) 	Elapsed: 0.012	Loglikelihood: -38557.7	(delta): 0
63 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -38557.7	(delta): 0
64 (QN/Block) 	Elapsed: 0.012	Loglikelihood: -38557.7	(delta): 0
65 (QN/Block) 	Elapsed: 0.012	Loglikelihood: -38557.7	(delta): 0
66 (QN/Block) 	Elapsed: 0.013	Loglikelihood: -38557.7	(delta): 0
67 (QN/Block) 	Elapsed: 0.012	Loglikelihood: -38557.7	(delta): -7.27596e-12
68 (QN/Block) 	Elapsed: 0.012	Loglikelihood: -38557.7	(delta): 7.27596e-12
69 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -38557.7	(delta): -7.27596e-12
70 (QN/Block) 	Elapsed: 0.012	Loglikelihood: -38557.7	(delta): 0
71 (QN/Block) 	Elapsed: 0.011	Loglikelihood: -38557.7	(delta): 7.27596e-12
72 (QN/Block) 	Elapsed: 0.012	Loglikelihood: -38557.7	(delta): -7.27596e-12
73 (QN/Block) 	Elapsed: 0.012	Loglikelihood: -38557.7	(delta): 7.27596e-12
74 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -38557.7	(delta): 0
75 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -38557.7	(delta): -7.27596e-12
76 (QN/Block) 	Elapsed: 0.011	Loglikelihood: -38557.7	(delta): 0
77 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -38557.7	(delta): 0
78 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -38557.7	(delta): 7.27596e-12
79 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -38557.7	(delta): 0
80 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -38557.7	(delta): 0
81 (QN/Block) 	Elapsed: 0.011	Loglikelihood: -38557.7	(delta): -7.27596e-12
82 (QN/Block) 	Elapsed: 0.011	Loglikelihood: -38557.7	(delta): 7.27596e-12
83 (QN/Block) 	Elapsed: 0.011	Loglikelihood: -38557.7	(delta): -7.27596e-12
84 (QN/Block) 	Elapsed: 0.011	Loglikelihood: -38557.7	(delta): 7.27596e-12
85 (QN/Block) 	Elapsed: 0.011	Loglikelihood: -38557.7	(delta): 0
86 (QN/Block) 	Elapsed: 0.011	Loglikelihood: -38557.7	(delta): -7.27596e-12
87 (QN/Block) 	Elapsed: 0.011	Loglikelihood: -38557.7	(delta): 0
88 (QN/Block) 	Elapsed: 0.012	Loglikelihood: -38557.7	(delta): 7.27596e-12
89 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -38557.7	(delta): 0
90 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -38557.7	(delta): 0
91 (QN/Block) 	Elapsed: 0.011	Loglikelihood: -38557.7	(delta): 0
92 (QN/Block) 	Elapsed: 0.011	Loglikelihood: -38557.7	(delta): 0
93 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -38557.7	(delta): -7.27596e-12
94 (QN/Block) 	Elapsed: 0.012	Loglikelihood: -38557.7	(delta): 7.27596e-12
95 (QN/Block) 	Elapsed: 0.014	Loglikelihood: -38557.7	(delta): 0
96 (QN/Block) 	Elapsed: 0.012	Loglikelihood: -38557.7	(delta): 0
97 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -38557.7	(delta): 0
