****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Parallel execution requested.  Will use 8 threads.
Cross-validation will be performed.  Folds=10.
Random seed: 43
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate at 100 iterations
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 142x576
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.003	Loglikelihood: -58854.2	(delta): 69144
2 (EM) 	Elapsed: 0.003	Loglikelihood: -56055.6	(delta): 2798.61
3 (EM) 	Elapsed: 0.003	Loglikelihood: -54899.5	(delta): 1156.09
4 (EM) 	Elapsed: 0.003	Loglikelihood: -53728.9	(delta): 1170.59
5 (EM) 	Elapsed: 0.003	Loglikelihood: -52332.8	(delta): 1396.1
Initial loglikelihood: -52332.8
Starting main algorithm
1 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -40244.5	(delta): 12088.3
2 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -36564.8	(delta): 3679.78
3 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -34847.8	(delta): 1716.96
4 (QN/Block) 	Elapsed: 0.012	Loglikelihood: -34448.5	(delta): 399.263
5 (QN/Block) 	Elapsed: 0.012	Loglikelihood: -34197.6	(delta): 250.893
6 (QN/Block) 	Elapsed: 0.012	Loglikelihood: -34165.1	(delta): 32.5062
7 (QN/Block) 	Elapsed: 0.015	Loglikelihood: -34164.3	(delta): 0.81113
8 (QN/Block) 	Elapsed: 0.011	Loglikelihood: -34164.1	(delta): 0.245271
9 (QN/Block) 	Elapsed: 0.011	Loglikelihood: -34164	(delta): 0.0282466
10 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -34164	(delta): 0.000602182
11 (QN/Block) 	Elapsed: 0.011	Loglikelihood: -34164	(delta): 8.89286e-05
12 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -34164	(delta): 5.93929e-07
13 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -34164	(delta): 2.62662e-09
14 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -34164	(delta): 5.09317e-11
15 (QN/Block) 	Elapsed: 0.011	Loglikelihood: -34164	(delta): 0
16 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -34164	(delta): -7.27596e-12
17 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -34164	(delta): 1.45519e-11
18 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -34164	(delta): 0
19 (QN/Block) 	Elapsed: 0.012	Loglikelihood: -34164	(delta): -7.27596e-12
20 (QN/Block) 	Elapsed: 0.012	Loglikelihood: -34164	(delta): 0
21 (QN/Block) 	Elapsed: 0.011	Loglikelihood: -34164	(delta): 0
22 (QN/Block) 	Elapsed: 0.011	Loglikelihood: -34164	(delta): 0
23 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -34164	(delta): 0
24 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -34164	(delta): 7.27596e-12
25 (QN/Block) 	Elapsed: 0.011	Loglikelihood: -34164	(delta): -7.27596e-12
26 (QN/Block) 	Elapsed: 0.011	Loglikelihood: -34164	(delta): 0
27 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -34164	(delta): 0
28 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -34164	(delta): 0
29 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -34164	(delta): 0
30 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -34164	(delta): 0
31 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -34164	(delta): 7.27596e-12
32 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -34164	(delta): -7.27596e-12
33 (QN/Block) 	Elapsed: 0.011	Loglikelihood: -34164	(delta): 0
34 (QN/Block) 	Elapsed: 0.012	Loglikelihood: -34164	(delta): -7.27596e-12
35 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -34164	(delta): 7.27596e-12
36 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -34164	(delta): 0
37 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -34164	(delta): 0
38 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -34164	(delta): 0
39 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -34164	(delta): 0
40 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -34164	(delta): 0
41 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -34164	(delta): 0
42 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -34164	(delta): 0
43 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -34164	(delta): -7.27596e-12
44 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -34164	(delta): 0
45 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -34164	(delta): 1.45519e-11
46 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -34164	(delta): 0
47 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -34164	(delta): -7.27596e-12
48 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -34164	(delta): 0
49 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -34164	(delta): 0
50 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -34164	(delta): 7.27596e-12
51 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -34164	(delta): -7.27596e-12
52 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -34164	(delta): 0
53 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -34164	(delta): 0
54 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -34164	(delta): 0
55 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -34164	(delta): 0
56 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -34164	(delta): 0
57 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -34164	(delta): 0
58 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -34164	(delta): 0
59 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -34164	(delta): 0
60 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -34164	(delta): 0
61 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -34164	(delta): 0
62 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -34164	(delta): 0
63 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -34164	(delta): 0
64 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -34164	(delta): 0
65 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -34164	(delta): 0
66 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -34164	(delta): 0
67 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -34164	(delta): 0
68 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -34164	(delta): 0
69 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -34164	(delta): 0
70 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -34164	(delta): 0
71 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -34164	(delta): 0
72 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -34164	(delta): 7.27596e-12
73 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -34164	(delta): -7.27596e-12
74 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -34164	(delta): 0
75 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -34164	(delta): 0
76 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -34164	(delta): 7.27596e-12
77 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -34164	(delta): -7.27596e-12
78 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -34164	(delta): 0
79 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -34164	(delta): 0
80 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -34164	(delta): 0
81 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -34164	(delta): 0
82 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -34164	(delta): 0
83 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -34164	(delta): 0
84 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -34164	(delta): -7.27596e-12
85 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -34164	(delta): 7.27596e-12
86 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -34164	(delta): 0
87 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -34164	(delta): 0
88 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -34164	(delta): 0
89 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -34164	(delta): 0
90 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -34164	(delta): 0
91 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -34164	(delta): 0
92 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -34164	(delta): 0
93 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -34164	(delta): 0
94 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -34164	(delta): 0
95 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -34164	(delta): 0
96 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -34164	(delta): 0
97 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -34164	(delta): 0
98 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -34164	(delta): 0
99 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -34164	(delta): 0
100 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -34164	(delta): 0
Summary: 
Converged in 100 iterations (1.027 sec)
Loglikelihood: -34164.045368
Fst divergences between estimated populations: 
	Pop0	Pop1	
Pop0	
Pop1	0.545	
Pop2	0.411	0.490	
CV error (K=3): 0.39249
Writing output files.
